CustomerID,Lookalikes
C0001,"[('C0184', 0.9982842666091768), ('C0048', 0.9952891302086743), ('C0190', 0.9906164205580823)]"
C0002,"[('C0088', 0.9989518323935593), ('C0092', 0.9801154109303394), ('C0106', 0.9705133378521827)]"
C0003,"[('C0076', 0.9832630233514876), ('C0052', 0.9740496136094947), ('C0031', 0.9671015980603384)]"
C0004,"[('C0169', 0.9822343186427105), ('C0087', 0.9788281862000395), ('C0165', 0.9663858754812761)]"
C0005,"[('C0186', 0.9990316040148837), ('C0140', 0.9956167654047997), ('C0146', 0.9950003571967967)]"
C0006,"[('C0126', 0.9953397675299717), ('C0187', 0.9947456582655262), ('C0011', 0.9919973570681504)]"
C0007,"[('C0146', 0.999998800803211), ('C0115', 0.9953121244105806), ('C0005', 0.994864019161458)]"
C0008,"[('C0160', 0.928006507374664), ('C0059', 0.9193575774076738), ('C0079', 0.9179462137827726)]"
C0009,"[('C0198', 0.9999877514913396), ('C0061', 0.9767565407092701), ('C0062', 0.9717638844517438)]"
C0010,"[('C0062', 0.9786640472326195), ('C0111', 0.9763931534396252), ('C0103', 0.9565301715896781)]"
C0011,"[('C0006', 0.9919973570681504), ('C0137', 0.9875713536876851), ('C0126', 0.9837967517367833)]"
C0012,"[('C0163', 0.9962556306566289), ('C0113', 0.9869297085611296), ('C0104', 0.978649722131006)]"
C0013,"[('C0099', 0.9880173884370319), ('C0108', 0.9779745381379594), ('C0107', 0.8639386392900977)]"
C0014,"[('C0060', 0.9995633309573962), ('C0089', 0.9312284936559412), ('C0172', 0.9088566570308693)]"
C0015,"[('C0131', 0.9837858705631986), ('C0036', 0.9767919777506203), ('C0094', 0.9701473329521145)]"
C0016,"[('C0183', 0.9941505985159991), ('C0067', 0.975785002421912), ('C0098', 0.9679637154629235)]"
C0017,"[('C0041', 0.9747995486740378), ('C0057', 0.9639906842805546), ('C0075', 0.956822433283844)]"
C0018,"[('C0122', 0.9969280407197494), ('C0046', 0.9888039741701825), ('C0194', 0.9597162023675276)]"
C0019,"[('C0073', 0.9980212842326817), ('C0167', 0.9844092070384043), ('C0132', 0.983818602312687)]"
C0020,"[('C0157', 0.9428502187556475), ('C0050', 0.9234953194965178), ('C0035', 0.9204685874481429)]"
